AnnotationID	PointID	X (um)	Y (um)
0	202	17003.52685838307	16771.11593416531
0	203	17017.09169831796	16771.11593416531
0	204	17017.543859649122	16771.11593416531
0	205	17017.996020980285	16770.663772834145
0	206	17018.448182311447	16770.211611502982
0	207	17024.778440947728	16764.333514197864
0	208	17037.891119551456	16764.333514197864
0	209	17038.34328088262	16763.8813528667
0	210	17038.79544221378	16763.8813528667
0	211	17039.247603544944	16763.8813528667
0	212	17039.699764876106	16762.977030204376
0	213	17045.577862181224	16757.09893289926
0	214	17059.142702116114	16757.09893289926
0	215	17059.594863447277	16757.09893289926
0	216	17060.04702477844	16756.646771568096
0	217	17060.499186109602	16756.194610236933
0	218	17066.829444745883	16750.316512931815
0	219	17079.94212334961	16750.316512931815
0	220	17087.176704648216	16750.316512931815
0	221	17087.62886597938	16749.86435160065
0	222	17088.081027310545	16749.86435160065
0	223	17088.533188641708	16748.960028938323
0	224	17094.86344727799	16743.081931633205
0	225	17101.645867245432	16743.081931633205
0	226	17115.210707180322	16743.081931633205
0	227	17122.445288478928	16743.081931633205
0	228	17123.349611141253	16742.629770302043
0	229	17129.679869777538	16736.299511665762
0	230	17143.244709712424	16736.299511665762
0	231	17170.826550913363	16736.299511665762
0	232	17171.27871224453	16736.299511665762
0	233	17171.730873575692	16735.8473503346
0	234	17172.183034906855	16735.8473503346
0	235	17172.635196238018	16734.943027672274
0	236	17178.9654548743	16729.064930367153
0	237	17192.53029480919	16729.064930367153
0	238	17198.86055344547	16729.064930367153
0	239	17206.547296075238	16729.064930367153
0	240	17207.451618737567	16728.61276903599
0	241	17213.781877373847	16722.28251039971
0	242	17220.112136010128	16722.28251039971
0	243	17226.89455597757	16722.28251039971
0	244	17234.12913727618	16722.28251039971
0	245	17234.581298607343	16721.830349068547
0	246	17235.48562126967	16721.830349068547
0	247	17235.93778260083	16720.92602640622
0	248	17241.81587990595	16715.047929101103
0	249	17248.598299873393	16715.047929101103
0	250	17249.50262253572	16714.59576776994
0	251	17255.832881172002	16708.265509133656
0	252	17262.163139808283	16708.265509133656
0	253	17269.39772110689	16708.265509133656
0	254	17269.849882438055	16707.813347802494
0	255	17270.302043769218	16707.813347802494
0	256	17270.75420510038	16706.90902514017
0	257	17277.08446373666	16701.03092783505
0	258	17283.866883704104	16701.03092783505
0	259	17284.77120636643	16700.126605172725
0	260	17291.101465002714	16694.248507867607
0	261	17304.214143606438	16694.248507867607
0	262	17304.6663049376	16693.796346536445
0	263	17305.118466268763	16693.796346536445
0	264	17305.570627599926	16693.796346536445
0	265	17306.022788931088	16692.89202387412
0	266	17311.90088623621	16687.013926568998
0	267	17332.248146138543	16687.013926568998
0	268	17332.700307469706	16687.013926568998
0	269	17353.499728703202	16687.013926568998
0	270	17353.951890034365	16687.013926568998
0	271	17354.404051365527	16686.561765237835
0	272	17354.85621269669	16686.109603906672
0	273	17361.18647133297	16680.231506601554
0	274	17374.299149936698	16680.231506601554
0	275	17388.316151202747	16680.231506601554
0	276	17395.098571170194	16680.231506601554
0	277	17395.550732501357	16679.77934527039
0	278	17396.455055163682	16679.77934527039
0	279	17396.907216494845	16678.875022608067
0	280	17402.785313799963	16672.99692530295
0	281	17403.237475131125	16672.99692530295
0	282	17409.115572436243	16672.99692530295
0	283	17410.01989509857	16672.99692530295
0	284	17423.58473503346	16672.99692530295
0	285	17424.03689636462	16672.99692530295
0	286	17424.489057695784	16672.544763971786
0	287	17424.941219026947	16672.092602640623
0	288	17431.27147766323	16666.2145053355
0	289	17444.384156266955	16666.2145053355
0	290	17444.836317598118	16665.76234400434
0	291	17445.28847892928	16665.76234400434
0	292	17445.740640260443	16665.76234400434
0	293	17446.192801591606	16664.858021342014
0	294	17452.070898896727	16658.979924036896
0	295	17458.401157533008	16658.979924036896
0	296	17458.85331886417	16658.979924036896
0	297	17472.870320130223	16658.979924036896
0	298	17473.77464279255	16658.527762705733
0	299	17480.10490142883	16652.197504069452
0	300	17486.43516006511	16652.197504069452
0	301	17500.452161331163	16652.197504069452
0	302	17500.904322662325	16651.74534273829
0	303	17501.356483993488	16651.74534273829
0	304	17501.80864532465	16651.74534273829
